filename;real_transcription
1.mp4;Terrible quality. The ship wasn't even straight on the base. Hot glue strings everywhere.
2.mp4;My husband loved this  set. The quality was good and shipping was fast. Great buy.
3.mp4;The toy broke within minutes of opening the box.
4.mp4;So cute and fluffy
5.mp4;Great little truck, son loves it and plays with it all the time.
6.mp4;Love these for on the go entertainment. No mess!
7.mp4;This stroller pretty much only fits Fisher Prices little cloth doll.  My daughter can't use it for her Bitty Baby, or most of her other dolls.
8.mp4;Nice Product!
9.mp4;Perfect Christmas gift
10.mp4;Gift for Granddaughter and she loves them
11.mp4;As advertised.
12.mp4;Can't go wrong with Melissa and Doug
13.mp4;lucky to get one for the kids for Christmas.  They loved it.
14.mp4;Very cheap quality, but it did the trick.
15.mp4;Was a gift and I never heard if they liked it. Sorry, I can't help you.
16.mp4;A very nice addition to my growing Pop collection. It arrived on time & she's adorable.
17.mp4;my sun really liked it
18.mp4;Fabric is nice and heavy and the emblems are colorful and intricate.  This was so affordable.  Workmanship is very good and fit is exact for AG.
19.mp4;Does not do much. Granddaughter loves the one Princess song and that is all. I thought it would offer more interaction
20.mp4;Jesse my ten month old loves to play with them soft and squeshy
21.mp4;Bought for red-haired Grandson. I hope he likes it. It is really cute.
22.mp4;Great addition to our dinosaur party!
23.mp4;We purchased this cat for our daughter and she loves it! The colors and details are great. Highly recommended. The fur is soft and cuddly.
24.mp4;These are great paint holders. Made painting with numerous paint colors with my toddlers much easier! Highly recommend
25.mp4;Perfect, Shipped safely, and fast.
26.mp4;These were great. I added to my vest for a true 80's look.
27.mp4;kids liked it
28.mp4;smaller than I had expected
29.mp4;I pulled high rarity cards and left me happy 
30.mp4;My granddaughter loves using this tray for her snacks when she comes to visit.
31.mp4;Huge waste of money and so disappointed.  Never worked and we followed the directions and everything.
32.mp4;Got what I paid for, I like it and as long as you follow the instructions it is awesome. The kids love their new theater.
33.mp4;"I'm not usually a fan of cooperative games, but this is actually really fun; by far the best I've played."
34.mp4;Very cheap quality. Definitely not worth the price.
35.mp4;Fun puzzle!  My eight and nine year old boys loved putting this together and then using it on their desk.
36.mp4;Kid loved the costume.  Many compliments!
37.mp4;smaller than I thought it would be
38.mp4;Very nice costume. Just bummed that I had to pay another six dollars to get the pendant, or it would be really Katniss.
39.mp4;Excellent
40.mp4;Great price!  My daughter will be thrilled when we give this to her to use for an airplane trip overseas.
41.mp4;The mat does not work anymore, and we have sparingly used it. Not reliable.
42.mp4;This police costume is the most adorable I have found so far, but the quality terrible! Coming apart at the seams right out of the bag,
43.mp4;Small but great price
44.mp4;They work amazing I got them on all my stuff
45.mp4;My child lost interest after five minutes.
46.mp4;All five of ours made it! three year old daughter loved the experience. Highly recommend and would do again next year.
47.mp4;the product came in an envelope and when i opened it, the box was dented, torn. thankfully it wasn't a gift. pieces were loose fitting as usual.
48.mp4;It is a fun game.
49.mp4;Seams don't hold together with weight from books
50.mp4;Was fun watching my grandkids waiting for the hatching. Some of the dinosaurs were misformed.
51.mp4;Love the value that this truck showed along with the assembly. I'd order again if I needed too. No damages or late arrivals.
52.mp4;My kid loves lego and loves minecraft. He likes the creepers, so we got him this set. He also likes the mine carts. Awesome lego set!
53.mp4;I bought this for my 2 year old son. It's really cute and well made
54.mp4;Excellent for home and as a gift. I purchase two complete sets for home and college.
55.mp4;Well, built and nicely made!  I ended up tossing my fisher price version after I got this.  The rattle in the pieces is a huge bonus!!!
56.mp4;These hand puppets are so cute.  Just as pictured and of course Melissa & Doug toys are always adorable and great quality.
57.mp4;Fun stocking stuffer
58.mp4;Nice set for my grandson!
59.mp4;"Some of the ""dirt"" is starting to fade."
60.mp4;overpriced and not snuggly
61.mp4;This is a beautiful puzzle, unfortunately my son was only interested in it for about a month before he was ready to move on to puzzles with more pieces.
62.mp4;Very cute! My daughter loves it. Perfect for any shopkins fan. Great size too.
63.mp4;Grandson loves his Melissa and Doug puzzles. First thing he goes to in his play room.
64.mp4;love it
65.mp4;My eight years old son loved it!
66.mp4;Husband loves it.
67.mp4;Quite big, but nice
68.mp4;I thought they would be bigger, but after the party was over, they turned out just fine.  I would recommend them to another person.
69.mp4;Excelente
70.mp4;The party game Headbands for children,  and it's Disney themed!  Very fun and entertaining for children and adults!
71.mp4;I love it! Kids spend hours with it.
72.mp4;My two year old son and I love playing with this. We count the pieces, place pizza orders and play flip the pizza!
73.mp4;Great paint and finish, the BAD its the size...did not see on time. and the price...way to much
74.mp4;granddaughter loved it
75.mp4;Arrived damaged and missing pieces.
76.mp4;I got this for a friend as a graduation gift and he loves it. He's already excited for a desk job so he can display Brees!!
77.mp4;my niece loved it
78.mp4;My granddaughter loves it!!
79.mp4;Batteries died almost immediately. Waste of money.
80.mp4;bought as a gift for a three year old and he loves it.
81.mp4;Amazing detail
82.mp4;Not much to say about a pad of paper but it is very nice and a great gift for a four year old!
83.mp4;Awesome
84.mp4;Good product, great price. Thanks!
