filename,whisper_transcription
100.mp4, 8 year old son loved it.
133.mp4," I got this for my son for his fourth birthday. Spider-Man does not stay on the bike, and my son gets really frustrated with it."
38.mp4," Very nice costume, just a bunch that I had to pay another 6 dollars to get the pendant or it would be really get this."
14.mp4," Very cheap quality, but it did the trick."
52.mp4, Mike it loves Ligo and loves Minecraft. He likes the creepers so we get him this sad. He also likes the mine carts. Awesome Ligo said.
160.mp4," Perfect for preschoolers as letter and sound recognition, Olin-1. Perfect for four years old."
56.mp4," These hand puppets are so cute, just as pictured and of course Melissa and Duck Toys are always adorable and great quality."
150.mp4," Was a birthday gift for my son. He took it out of the box, touch it, wants to make the head bubble and it broke this appointing."
159.mp4," But this set for Kinetic Sand, it's perfect and especially for the price, great buy."
33.mp4," I'm not usually a fan of cooperative games, but this is actually really fun. By far the best I've played."
21.mp4," But for red hair grandson, I hope he likes it. It is really cute."
101.mp4," It's a little smaller than I thought, but it will be the perfect cutlet I for my daughter."
54.mp4, Excellent for home and as a gift. I purchase two complete sets for home and college.
118.mp4, Stop working after one day.
173.mp4, My son loved this for Christmas.
35.mp4, Fund puzzle. My eight and nine year old boys loved putting this together and then using it under this.
127.mp4," Very cool, it's a nice addition to my mencave collection, thanks."
200.mp4, Daughter loves putting letters on the shower wall. Nice product.
64.mp4, Love it.
74.mp4, Granddaughter loved it.
20.mp4," Jesse, my 10 month old, loves to play with them soft and squishy."
178.mp4, My son love the kitchen. It's a little bit work to put it together but it's worth it.
89.mp4, Great!
182.mp4, Our grandson that is two years loved this. Perfect size to play with and carry around. Great service.
114.mp4," So cute, perfect for the barbies."
77.mp4, My knees loved it.
32.mp4," God, what I paid for. I like it and as long as you follow the instructions, it is awesome. The kids love their new theater."
22.mp4, Great Addiction to our Dinosaur Party.
156.mp4, The interest small parts not mentioned in description.
41.mp4," The mat does not work anymore and we have sparingly used it, not reliable."
120.mp4," Game just like the picture, great product."
23.mp4," We purchased this cat for our daughter and she loves it. The colors and details are great, highly recommended. The fur is soft and cuddly."
111.mp4," Ghost Perfect without Firaebot, my niece is doll for Christmas. Style is great. Also this is a match of the shoes my niece wears."
87.mp4," If you love Lego, this won't change your mind, where 5 years old plays with this."
9.mp4, Perfect Christmas gift.
104.mp4, It felt like a dollar stir item.
47.mp4," The product came in an envelope and when I opened it, the box was dented, torn. Thankfully, it wasn't a gift. Pieces were loose, feeding as usual."
117.mp4, My two and four year old love this water slide. They have played in it every day the past week. It's $20 well spent. I recommend to other parents.
88.mp4," Trying to get on money back is the worst thing ever. If it works, it would be great. Nothing works on this. My grandchild are very sad."
121.mp4, My kids found it boring and repetitive.
68.mp4," I thought they would be bigger, but after the party was over they turned out just fine. I would recommend them to another person."
183.mp4," Great figure, but so small."
85.mp4, I love this game because it helps you with grammar and makes silly funny sentences. I recommend this game to kids from a third grade to adults.
8.mp4, he's our welder
92.mp4, Great bye!
113.mp4," Extremely loud and annoying, not kid friendly."
198.mp4, Simply spectacular exactly what I asked for I recommend this product to a thousand percent so buy an Insure problem cannot regret
191.mp4, Doll came on time with note issues.
12.mp4, Let's go wrong with Malice and Oak.
161.mp4, The paint is a little off but it feels good in hand.
180.mp4, Not suitable for the recommended age group.
179.mp4," My son loves this, but you can buy them cheap at the Disney store. Cute toys, decent quality, lots of fun for little metaphants."
139.mp4," The sounds are annoying, I wish you could turn the volume down. My son loves it, though 18 months."
126.mp4," While not a call as the cute but deadly Blizzard fears, still a nice addition to the collection."
110.mp4," Funtoy, but my three old Godboard pretty quickly after playing with it a few times."
147.mp4," Pretty cool, the little drone and the K9 were fun to build."
93.mp4, Great toy! My son really likes it and he's used it for over a year!
50.mp4, Was fun watching my grandkids waiting for the etching. Some of the dinosaurs were misformed.
84.mp4," Good product, great price. Thank you."
172.mp4, They don't really work.
102.mp4, My grandson loved it and he had arrived on the timing it was projected to arrive.
1.mp4," Terrible quality, the sheep wasn't even straight on the base. Out glue strings everywhere."
27.mp4, Kids liked it.
91.mp4, This is one of my granddaughters' favorite toys it arrived on time and was easy to put together.
137.mp4," But when they were 350 or so, great at that price. Not worth for more than $10 for sure."
76 2.mp4, I got this for a friend as a graduation gift and he loves it. He's already excited for a desk. Job so he can display breeze.
70.mp4," The party game had bends for children and it's Disney themed, very fun and entertaining for children and adults."
140.mp4," I got them for my 15 month old. They scored downwards, though he just likes trying to have drowned them in the tub and watch them pop back up."
98.mp4, My daughter loves this.
107.mp4," Much more inexpensive than buying these from justice, but as birthday gifts for my 7-year-old."
148.mp4, Fits great!
131.mp4, Great deal for a large classroom setting.
142.mp4, Doesn't look like the picture at all.
17.mp4, My son really liked it.
130.mp4, Get these definite leads fun.
62.mp4, Very cute! My daughter loves it! Perfect for any Shopkins fan! Great size too!
58.mp4, Nice set for my grandson.
55.mp4," Well built and nicely made, I ended up testing my Fisher Price version after I got this. The rattle in the pieces is a huge bonus."
106.mp4, Kids loved it.
167.mp4, The worst toy we have ever bought.
128.mp4, Even Always.
79.mp4, Battery died almost immediately waste of money.
43.mp4, Small but great price.
76.mp4, I got this for a friend as a graduation gift and he loves it. He's already excited for a desk. Job so he can display breeze.
16.mp4, A very nice addition to my growing pop collection. It arrives on time and she's adorable.
81.mp4, Amazing detail.
125.mp4, The balls are sturdy and do not crash with normal play.
136.mp4, We bought one of those over the door basketball nets for the kitchen for the kids. This ball works great. I highly recommend it.
25.mp4, Perfect. Sheeped safely and fast.
105.mp4," My grandkids were so excited to get these for their birthday. They left to play cards and always dropped them, not anymore."
40.mp4," Great price, my daughter will be thrilled when we give this to her to use for an airplane trip overseas."
